symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
AUR,"Aurora Innovation, Inc.",11822763401,Technology,Information Technology Services,2.835,6.88,0.0,7338811,NASDAQ Global Select,NASDAQ,US,False,False,True
AGNC,AGNC Investment Corp.,8572995200,Real Estate,REIT - Mortgage,1.466,9.68,1.44,15962925,NASDAQ Global Select,NASDAQ,US,False,False,True
LCID,"Lucid Group, Inc.",8402615100,Consumer Cyclical,Auto - Manufacturers,1.122,2.79,0.0,80160568,NASDAQ Global Select,NASDAQ,US,False,False,True
YRI.TO,Yamana Gold Inc.,7591734267,Basic Materials,Gold,1.28684,7.89,0.55,23617782,Toronto Stock Exchange,TSX,CA,False,False,False
JOBY,"Joby Aviation, Inc.",6702153360,Industrials,"Airlines, Airports & Air Services",1.972,8.76,0.0,12455426,New York Stock Exchange,NYSE,US,False,False,True
COTY,Coty Inc.,6480740100,Consumer Defensive,Household & Personal Products,1.914,7.45,0.0,5360982,New York Stock Exchange,NYSE,US,False,False,True
CS.TO,Capstone Copper Corp.,6453064310,Basic Materials,Copper,2.118,8.47,0.0,2189294,Toronto Stock Exchange,TSX,CA,False,False,True
ADT,ADT Inc.,6374972120,Industrials,Security & Protection Services,1.517,7.48,0.22,3747103,New York Stock Exchange,NYSE,US,False,False,True
LUMN,"Lumen Technologies, Inc.",6007675200,Communication Services,Telecommunications Services,1.201,5.92,0.0,11975999,New York Stock Exchange,NYSE,US,False,False,True
AUY,Yamana Gold Inc.,5628852403,Basic Materials,Gold,1.269098,5.85,0.19,42248515,New York Stock Exchange,NYSE,CA,False,False,False
IMG.TO,IAMGOLD Corporation,4958016000,Basic Materials,Gold,1.488,8.68,0.0,1830416,Toronto Stock Exchange,TSX,CA,False,False,True
IEP,Icahn Enterprises L.P.,4936709385,Industrials,Conglomerates,0.708,9.795,3.5,508674,NASDAQ Global Select,NASDAQ,US,False,False,True
BTO.TO,B2Gold Corp.,4534057600,Basic Materials,Gold,1.239,3.44,0.21983,3332030,Toronto Stock Exchange,TSX,CA,False,False,True
ACHR,Archer Aviation Inc.,4239968699,Industrials,Aerospace & Defense,2.295,9.97,0.0,33841114,New York Stock Exchange,NYSE,US,False,False,True
GBTG,"Global Business Travel Group, Inc.",4210992900,Technology,Software - Application,0.635,8.95,0.0,372302,New York Stock Exchange,NYSE,US,False,False,True
CVT,Cvent Holding Corp.,4188610852,Technology,Software - Application,1.115353,8.52,0.0,12222804,NASDAQ Global Market,NASDAQ,US,False,False,False
